"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Am04g23250",266.904164564615,-0.181548526391223,0.204350230036752,-0.888418507571884,0.374315673586032,0.629409281565108
"Am04g16800",554.529780081603,0.130755259768395,0.147187118508876,0.888360755296052,0.374346728384475,0.629409281565108
"Am02g09240",12.0720958830624,-1.02012265453568,1.14840942124233,-0.888291784851541,0.374383817551709,0.629409281565108
"Am08g08560",2.14179751049446,-2.33607254783236,2.62986432604548,-0.888286336559842,0.374386747491956,0.629409281565108
"Am03g08390",151.420379183367,-0.310023116535947,0.349024533366916,-0.888255944489814,0.374403091764909,0.629409281565108
"Am03g00660",7.25140477246296,-0.728229207958253,0.819894841838111,-0.888198303974746,0.374434090941491,0.629415817485891
"Am02g50970",562.603271250854,-0.257723555312554,0.290184732691052,-0.888136163893026,0.374467511771169,0.62942642291337
"Am06g14640",9.17963378578498,1.00526829712562,1.1320667463876,0.88799383988039,0.374544064912747,0.629475290364465
"Am01g51490",16.2991686801441,-0.823547548744791,0.927454377098763,-0.887965563676554,0.374559275249846,0.629475290364465
"Am02g51620",365.894009595658,0.244473732493184,0.275330157117754,0.887929368335146,0.374578746007184,0.629475290364465
"Am03g18740",1232.22032605373,-0.0951387895817681,0.107160308853931,-0.887817426053246,0.374638967689619,0.629475290364465
"Am01g00280",279.096764493395,0.151279668714311,0.170411929940461,0.887729331902791,0.374686363981495,0.629475290364465
"Am08g21970",708.97292750802,0.129905239373578,0.146339543202638,0.88769745026262,0.374703517810526,0.629475290364465
"Am03g06340",677.098562880389,0.167024643827327,0.188155203923632,0.887696116526859,0.374704235433974,0.629475290364465
"Am05g18910",7.19148109113827,0.76490564688135,0.861750101552783,0.88761886479975,0.374745802576408,0.629475290364465
"Am03g38830",14.5063641839163,0.845116879265126,0.952156505162552,0.887581899281199,0.374765693767506,0.629475290364465
"Am02g19760",4.69776315686491,0.997184925286823,1.12348974598264,0.887578127751095,0.374767723269195,0.629475290364465
"Am05g31530",229.717278753099,0.213725588922234,0.240893243427373,0.887221185124977,0.374959828755465,0.629722939442519
"Am04g16030",25.6098188661445,0.410652147667216,0.462878296513818,0.887170884355684,0.374986905375234,0.629722939442519
"Am03g15360",7.92455508366271,-0.74296966010656,0.837476364399962,-0.887152989253477,0.374996538499002,0.629722939442519
"Am01g29540",249.934354144139,-0.190093132009802,0.214326669301521,-0.8869317692908,0.375115636187533,0.629877376662068
"Am01g14720",43.4669345511836,0.386196894174052,0.435531459963573,0.886725597747526,0.375226653332285,0.630018224037198
"Am04g16550",3940.46437719223,0.14517273659021,0.163749738052558,0.88655248134574,0.375319886959608,0.630129194073927
"Am04g36510",6.89716082101944,1.10774765556036,1.24959312582905,0.886486675273138,0.375355331253887,0.630143131852647
"Am01g29180",747.372558034752,-0.175807946310409,0.198344282438328,-0.886377687065792,0.375414038744568,0.630178432991831
"Am04g32230",6.87305194684263,1.01856689825375,1.14931154152236,0.88624090288398,0.375487726815956,0.630178432991831
"Am04g25100",106.991369926449,0.344108425366255,0.38828183850479,0.886233635576057,0.375491642093903,0.630178432991831
"Am06g18610",154.439003282012,-0.251292470044494,0.283553317258229,-0.886226521609144,0.375495474783471,0.630178432991831
"Am07g16450",69.8049278891646,0.584596283939331,0.659671182016633,0.886193454975863,0.375513289934767,0.630178432991831
"Am01g00870",35.7044621079564,0.404672191250726,0.456665720287818,0.886145320904923,0.375539223830202,0.630178432991831
"Am05g31730",462.784471449844,-0.202591030791437,0.228641088079533,-0.886065722014781,0.37558211291241,0.630204852079683
"Am03g18670",2171.18916891893,-0.122202095385803,0.137994002108091,-0.885560919452725,0.375854178566384,0.630615784461745
"Am05g08040",1914.86834236641,-0.164565778346949,0.185844815432719,-0.885501045395189,0.375886456034395,0.630624365030677
"Am03g36960",723.228859747505,0.172012637887996,0.194277505939082,0.885396572580732,0.375942780316429,0.630673284762354
"Am03g43240",1134.6776445486,0.152799455977027,0.172610891537784,0.88522488132552,0.37603535529927,0.630769800653835
"Am04g00990",16.8044156005519,-0.534247159374875,0.603540149682141,-0.885189095797918,0.376054652431501,0.630769800653835
"Am01g34500",522.642596408162,0.260014831347354,0.293787456602764,0.885044019081202,0.376132890447721,0.630855453304024
"Am04g04480",289.27466069915,-0.154207592513431,0.174293615484481,-0.884757551702525,0.376287408141834,0.631046512012856
"Am02g22460",37.6518150171171,-0.533962914389493,0.603530658911526,-0.884732045514474,0.376301167828479,0.631046512012856
"Am01g63000",184.39524747272,0.220777674714029,0.24957978024973,0.88459760038701,0.376373701353152,0.631122560535556
"Am02g47840",99.8471317041269,-0.244469010394242,0.276407738959727,-0.884450671729786,0.3764529796429,0.63120789870619
"Am06g28350",584.24952344493,0.140885106667896,0.159300920328035,0.884396062356593,0.376482447846544,0.63120789870619
"Am03g19780",544.382854358155,-0.242803655797759,0.274555405219437,-0.884352124132102,0.376506158738944,0.63120789870619
"Am01g57290",81.7371048118888,-0.27330103392624,0.309084348988045,-0.88422799414153,0.376573149419963,0.631274621772969
"Am01g27480",73.103539276319,0.28391941051141,0.321125629070903,0.884138121684212,0.376621656527368,0.63130959068079
"Am06g38210",1499.78375640724,-0.100351301363259,0.113520193554112,-0.883995157349911,0.376698827001488,0.63130959068079
"Am03g11290",13840.3420179435,0.0982855736689158,0.111190718924594,0.883936848502349,0.376730304235073,0.63130959068079
